Location ID,Location Name,x,Lat,Long,,,,,,
1D1,A-1,door1,31.471076,74.409600,,,,,,
1D2,x,door2,31.471093, 74.409451,,,,,,
2D1,A -2,door1,31.471076, 74.409600,,,,,,
2D2,x,door2,31.471093, 74.409451,,,,,,
3,CASM,x, 31.471169, 74.409744,,,,,,
4,Toilet(ladies),TL1,31.471099, 74.409681,,,,,,
5,Toilet(Gents),TG1,31.470913, 74.409848,,,,,,
6,Department of HSS,x, 31.470993, 74.409862,,,,,,
7,MATH faculty wing,x, 31.470939, 74.409944,,,,,,
8D1,A-3,door1,31.470722, 74.409766,,,,,,
8D2,x,door2,31.470846, 74.409795,,,,,,
9,A-12,x, 31.470644, 74.409844,,,,,,
10,A-11,x, 31.470594, 74.409890,,,,,,
11,HR Boardroom,x, 31.470568, 74.409864,,,,,,
12,A-10,x, 31.470423, 74.409616,,,,,,
13,A-9,x, 31.470471, 74.409574,,,,,,
14D1,SS,door1,31.470572, 74.409352,,,,,,
14D2,x,door2, 31.470546, 74.409514,,,,,,
15,Centre for Management and Economic Research,x, 31.470475, 74.409205,,,,,,
16,Toilet(ladies),TL2, 31.470551, 74.409266,,,,,,
17,Toilet(Gents),TG2, 31.470730, 74.409109,,,,,,
18,Small and Medium Business Enterprise,x, 31.470706, 74.409010,,,,,,
19,OSA,x, 31.470711, 74.409015,,,,,,
20D2,A-4,door2, 31.470800, 74.409155,,,,,,
20D1,,door1, 31.470907, 74.409195,,,,,,
21,A-16,x, 31.470948, 74.409153,,,,,,
22,Old RO,x, 31.471033, 74.409079,,,,,,
23,RO,x, 31.471207, 74.409350,,,,,,
24,Toilet(ladies),TL3, 31.471038, 74.409119,,,,,,
25,Toilet(Gents),TG3, 31.471181, 74.409338,,,,,,
26,DR-1,x, 31.470955, 74.409468,,,,,,
27,DR-2,x, 31.470961, 74.409502,,,,,,
28,DR-3,x, 31.470811, 74.409627,,,,,,
29,DR-4,x, 31.470781, 74.409616,,,,,,
30,DR-5,x, 31.470698, 74.409462,,,,,,
31,DR-6,x, 31.470707, 74.409434,,,,,,
32,DR-7,x, 31.470834, 74.409323,,,,,,
33,DR-8,x, 31.470855, 74.409331,,,,,,
j1,x,x, 31.471178, 74.409166,,,,,,
j2,x,x, 31.471120, 74.409218,,,,,,
j3,x,x, 31.471206, 74.409355,,,,,,
j4,x,x, 31.471033, 74.409080,,,,,,
j5,x,x, 31.471043, 74.409285,,,,,,
j6,x,x, 31.471001, 74.409496,,,,,,
j7,x,x, 31.470959, 74.409398,,,,,,
j8,x,x, 31.470920, 74.409340,,,,,,
j9,x,x, 31.470849, 74.409280,,,,,,
j10,x,x, 31.470765, 74.409308,,,,,,
j11,x,x, 31.470711, 74.409355,,,,,,
j12,x,x, 31.470661, 74.409213,,,,,,
j13,x,x, 31.470592, 74.409108,,,,,,
j14,x,x, 31.470542, 74.409033,,,,,,
j16,x,x, 31.470664, 74.409440,,,,,,
j17,x,x, 31.470676, 74.409545,,,,,,
j18,x,x, 31.470714, 74.409609,,,,,,
j19,x,x, 31.470575, 74.409689,,,,,,
j20,x,x, 31.470503, 74.409751,,,,,,
j21,x,x, 31.470557, 74.409834,,,,,,
j22,x,x, 31.470791, 74.409678,,,,,,
j23,x,x, 31.470875, 74.409655,,,,,,
j24,x,x, 31.470957, 74.409586,,,,,,
j25,x,x, 31.471001, 74.409754,,,,,,
j26,x,x, 31.471061, 74.409846,,,,,,
j27,x,x, 31.471107, 74.409923,,,,,,
j28,x,x,31.470830,74.409480,,,,,,
,,,,,,,,,,
